user_id,registration_date,age,gender,location_city,location_province,income_range,total_purchases,total_spent,avg_order_value,last_active,customer_segment
user_00001,2024-05-20,25,M,Semarang,Jawa Tengah,25-50k,14,1579.09,112.79,2026-04-01 09:51:30,Regular
user_00002,2024-04-12,65,M,Bekasi,Jawa Barat,100-200k,2,126.82,63.41,2026-03-29 09:51:30,New
user_00003,2025-07-10,50,M,Depok,Jawa Barat,25-50k,45,15410.16,342.45,2026-03-18 09:51:30,VIP
user_00004,2024-12-31,32,F,Bekasi,Jawa Barat,50-100k,0,0.0,0.0,2026-03-30 09:51:30,New
user_00005,2024-12-28,39,F,Bandung,Jawa Barat,25-50k,48,9670.44,201.47,2026-04-02 09:51:30,VIP
user_00006,2025-02-09,24,F,Makassar,Sulawesi Selatan,>200k,16,6611.32,413.21,2026-03-12 09:51:30,Regular
user_00007,2024-11-20,52,M,Palembang,Sumatera Selatan,<25k,35,6367.56,181.93,2026-03-15 09:51:30,VIP
user_00008,2024-06-10,41,M,Surabaya,Jawa Timur,<25k,42,6407.28,152.55,2026-03-26 09:51:30,VIP
user_00009,2025-12-14,32,M,Palembang,Sumatera Selatan,50-100k,29,9745.68,336.06,2026-03-24 09:51:30,VIP
user_00010,2025-09-20,41,F,Medan,Sumatera Utara,50-100k,44,20745.76,471.49,2026-03-15 09:51:30,VIP
user_00011,2025-12-22,56,M,Depok,Jawa Barat,25-50k,10,2580.17,258.02,2026-03-27 09:51:30,Regular
user_00012,2024-05-19,62,M,Makassar,Sulawesi Selatan,<25k,14,5877.36,419.81,2026-03-10 09:51:30,Regular
user_00013,2025-04-16,43,F,Surabaya,Jawa Timur,25-50k,36,15997.16,444.37,2026-03-25 09:51:30,VIP
user_00014,2025-07-31,59,F,Palembang,Sumatera Selatan,100-200k,9,1522.76,169.2,2026-03-28 09:51:30,Premium
user_00015,2024-08-08,52,F,Bekasi,Jawa Barat,100-200k,37,8500.02,229.73,2026-03-28 09:51:30,VIP
user_00016,2025-10-15,50,F,Surabaya,Jawa Timur,<25k,7,831.45,118.78,2026-03-30 09:51:30,Premium
user_00017,2024-04-08,45,M,Palembang,Sumatera Selatan,100-200k,38,18933.68,498.25,2026-03-19 09:51:30,VIP
user_00018,2025-06-21,53,M,Surabaya,Jawa Timur,>200k,48,8163.42,170.07,2026-03-15 09:51:30,VIP
user_00019,2025-03-22,25,F,Palembang,Sumatera Selatan,25-50k,29,1492.35,51.46,2026-03-12 09:51:30,VIP
user_00020,2025-06-09,50,M,Depok,Jawa Barat,<25k,40,7372.01,184.3,2026-03-15 09:51:30,VIP
user_00021,2024-10-02,56,M,Bandung,Jawa Barat,50-100k,48,5889.46,122.7,2026-03-05 09:51:30,VIP
user_00022,2024-09-08,18,F,Tangerang,Banten,<25k,7,3276.66,468.09,2026-03-07 09:51:30,Premium
user_00023,2025-04-25,33,M,Medan,Sumatera Utara,>200k,5,442.72,88.54,2026-03-20 09:51:30,Premium
user_00024,2025-12-25,52,M,Bandung,Jawa Barat,100-200k,35,4350.75,124.31,2026-03-19 09:51:30,VIP
user_00025,2024-06-22,45,M,Depok,Jawa Barat,25-50k,45,8562.25,190.27,2026-03-14 09:51:30,VIP
user_00026,2024-05-09,41,F,Depok,Jawa Barat,100-200k,7,1130.9,161.56,2026-04-02 09:51:30,Premium
user_00027,2025-03-24,19,M,Bekasi,Jawa Barat,25-50k,0,0.0,0.0,2026-03-15 09:51:30,New
user_00028,2026-01-04,32,M,Jakarta,DKI Jakarta,50-100k,4,1125.48,281.37,2026-03-27 09:51:30,New
user_00029,2024-04-19,49,M,Depok,Jawa Barat,25-50k,46,21665.14,470.98,2026-03-17 09:51:30,VIP
user_00030,2024-07-23,48,M,Tangerang,Banten,100-200k,12,1109.36,92.45,2026-03-14 09:51:30,Regular
user_00031,2024-12-19,40,F,Palembang,Sumatera Selatan,100-200k,46,3421.34,74.38,2026-03-15 09:51:30,VIP
user_00032,2024-05-13,24,M,Palembang,Sumatera Selatan,50-100k,6,971.37,161.9,2026-03-29 09:51:30,Premium
user_00033,2024-09-02,46,M,Palembang,Sumatera Selatan,25-50k,17,4389.1,258.18,2026-03-08 09:51:30,Regular
user_00034,2025-12-18,46,M,Jakarta,DKI Jakarta,>200k,0,0.0,0.0,2026-03-06 09:51:30,New
user_00035,2025-07-06,28,F,Tangerang,Banten,100-200k,13,5708.2,439.09,2026-03-07 09:51:30,Regular
user_00036,2026-01-04,28,F,Jakarta,DKI Jakarta,100-200k,16,7470.93,466.93,2026-03-10 09:51:30,Regular
user_00037,2024-11-25,36,F,Depok,Jawa Barat,100-200k,9,1219.09,135.45,2026-03-29 09:51:30,Premium
user_00038,2026-01-05,55,M,Makassar,Sulawesi Selatan,<25k,3,938.64,312.88,2026-03-19 09:51:30,New
user_00039,2024-09-08,28,M,Depok,Jawa Barat,<25k,11,889.18,80.83,2026-04-02 09:51:30,Regular
user_00040,2024-04-13,33,F,Surabaya,Jawa Timur,>200k,15,4657.7,310.51,2026-04-03 09:51:30,Regular
user_00041,2024-06-09,23,F,Bekasi,Jawa Barat,>200k,33,6348.09,192.37,2026-03-27 09:51:30,VIP
user_00042,2025-08-08,60,F,Medan,Sumatera Utara,50-100k,25,2722.38,108.9,2026-03-15 09:51:30,VIP
user_00043,2025-05-02,47,F,Surabaya,Jawa Timur,<25k,29,9556.13,329.52,2026-03-17 09:51:30,VIP
user_00044,2025-11-23,22,M,Depok,Jawa Barat,50-100k,8,3759.73,469.97,2026-03-07 09:51:30,Premium
user_00045,2025-12-25,33,F,Semarang,Jawa Tengah,25-50k,28,11905.19,425.19,2026-03-13 09:51:30,VIP
user_00046,2025-04-30,57,M,Depok,Jawa Barat,50-100k,42,4057.78,96.61,2026-03-07 09:51:30,VIP
user_00047,2025-10-19,34,M,Surabaya,Jawa Timur,>200k,9,1553.01,172.56,2026-03-16 09:51:30,Premium
user_00048,2025-08-02,63,F,Medan,Sumatera Utara,50-100k,32,8634.86,269.84,2026-03-07 09:51:30,VIP
user_00049,2026-01-12,23,F,Semarang,Jawa Tengah,<25k,0,0.0,0.0,2026-03-31 09:51:30,New
user_00050,2024-05-22,34,M,Tangerang,Banten,>200k,45,10910.66,242.46,2026-04-04 09:51:30,VIP
user_00051,2025-11-11,22,M,Depok,Jawa Barat,<25k,23,7178.97,312.13,2026-03-31 09:51:30,VIP
user_00052,2024-12-20,26,M,Semarang,Jawa Tengah,50-100k,50,24374.42,487.49,2026-04-03 09:51:30,VIP
user_00053,2025-03-04,31,M,Surabaya,Jawa Timur,50-100k,49,14795.43,301.95,2026-03-08 09:51:30,VIP
user_00054,2025-01-13,57,M,Medan,Sumatera Utara,25-50k,11,4913.01,446.64,2026-04-04 09:51:30,Regular
user_00055,2025-09-03,65,F,Palembang,Sumatera Selatan,25-50k,17,2067.86,121.64,2026-03-13 09:51:30,Regular
user_00056,2025-11-15,42,M,Tangerang,Banten,25-50k,12,5009.57,417.46,2026-03-21 09:51:30,Regular
user_00057,2025-03-12,37,M,Medan,Sumatera Utara,<25k,42,5750.15,136.91,2026-03-25 09:51:30,VIP
user_00058,2025-05-24,22,F,Makassar,Sulawesi Selatan,>200k,25,8894.58,355.78,2026-03-09 09:51:30,VIP
user_00059,2024-09-02,39,M,Surabaya,Jawa Timur,50-100k,11,3423.92,311.27,2026-03-27 09:51:30,Regular
user_00060,2026-01-25,24,F,Makassar,Sulawesi Selatan,50-100k,27,8715.44,322.79,2026-03-19 09:51:30,VIP
user_00061,2025-11-07,42,M,Semarang,Jawa Tengah,<25k,45,11080.16,246.23,2026-03-19 09:51:30,VIP
user_00062,2024-08-31,61,M,Makassar,Sulawesi Selatan,100-200k,4,1907.97,476.99,2026-03-06 09:51:30,New
user_00063,2025-04-01,57,F,Surabaya,Jawa Timur,50-100k,32,6053.7,189.18,2026-03-22 09:51:30,VIP
user_00064,2025-04-05,43,F,Depok,Jawa Barat,25-50k,12,2870.41,239.2,2026-03-05 09:51:30,Regular
user_00065,2025-02-10,61,M,Bekasi,Jawa Barat,>200k,19,4421.94,232.73,2026-03-09 09:51:30,Regular
user_00066,2026-03-05,37,F,Medan,Sumatera Utara,100-200k,50,15549.66,310.99,2026-03-15 09:51:30,VIP
user_00067,2025-04-10,47,F,Tangerang,Banten,25-50k,32,8413.88,262.93,2026-03-07 09:51:30,VIP
user_00068,2025-09-13,60,M,Semarang,Jawa Tengah,>200k,42,14062.58,334.82,2026-03-25 09:51:30,VIP
user_00069,2025-11-30,33,F,Medan,Sumatera Utara,25-50k,9,548.92,60.99,2026-03-28 09:51:30,Premium
user_00070,2024-11-04,57,M,Tangerang,Banten,100-200k,40,12362.08,309.05,2026-03-13 09:51:30,VIP
user_00071,2025-02-05,49,F,Medan,Sumatera Utara,25-50k,41,14736.63,359.43,2026-03-07 09:51:30,VIP
user_00072,2025-11-16,45,M,Bandung,Jawa Barat,>200k,29,2105.35,72.6,2026-03-28 09:51:30,VIP
user_00073,2025-11-01,47,M,Tangerang,Banten,>200k,35,11128.37,317.95,2026-03-05 09:51:30,VIP
user_00074,2024-12-07,57,F,Depok,Jawa Barat,100-200k,10,3846.45,384.64,2026-03-20 09:51:30,Regular
user_00075,2024-11-30,34,M,Semarang,Jawa Tengah,>200k,31,10293.14,332.04,2026-03-27 09:51:30,VIP
user_00076,2024-12-10,22,F,Medan,Sumatera Utara,50-100k,21,4071.26,193.87,2026-03-18 09:51:30,VIP
user_00077,2025-12-13,26,M,Medan,Sumatera Utara,100-200k,44,5225.54,118.76,2026-03-29 09:51:30,VIP
user_00078,2025-12-30,44,F,Makassar,Sulawesi Selatan,>200k,29,6875.85,237.1,2026-03-29 09:51:30,VIP
user_00079,2024-12-30,42,M,Bekasi,Jawa Barat,100-200k,30,1579.6,52.65,2026-03-24 09:51:30,VIP
user_00080,2025-05-04,42,F,Depok,Jawa Barat,>200k,38,17252.57,454.02,2026-03-20 09:51:30,VIP
user_00081,2025-07-24,35,F,Tangerang,Banten,<25k,24,4830.2,201.26,2026-03-14 09:51:30,VIP
user_00082,2025-01-15,64,M,Tangerang,Banten,25-50k,39,11323.87,290.36,2026-03-06 09:51:30,VIP
user_00083,2025-01-26,55,M,Surabaya,Jawa Timur,100-200k,8,3520.66,440.08,2026-03-30 09:51:30,Premium
user_00084,2026-01-13,34,F,Makassar,Sulawesi Selatan,25-50k,29,5715.34,197.08,2026-03-11 09:51:30,VIP
user_00085,2025-02-10,35,F,Semarang,Jawa Tengah,<25k,30,1761.67,58.72,2026-03-18 09:51:30,VIP
user_00086,2026-01-11,40,M,Surabaya,Jawa Timur,<25k,48,3070.25,63.96,2026-03-28 09:51:30,VIP
user_00087,2025-08-13,19,M,Medan,Sumatera Utara,25-50k,30,10537.69,351.26,2026-03-17 09:51:30,VIP
user_00088,2025-07-25,47,F,Makassar,Sulawesi Selatan,25-50k,38,12283.93,323.26,2026-03-12 09:51:30,VIP
user_00089,2025-11-08,28,F,Surabaya,Jawa Timur,>200k,1,468.0,468.0,2026-03-17 09:51:30,New
user_00090,2024-04-11,42,F,Medan,Sumatera Utara,<25k,37,13348.73,360.78,2026-03-15 09:51:30,VIP
user_00091,2025-06-30,24,F,Bekasi,Jawa Barat,<25k,50,24636.5,492.73,2026-03-10 09:51:30,VIP
